coder_id,manifesto,prior_experience,mlb_retained
kbenoit,GB,1,0
mikhailv,GB,0,0
daublert,GB,1,0
mcelroy,GB,0,1
goreckim,GB,0,0
mjenny,GB,5,1
alex.baturo,GB,0,1
pr9,GB,0,1
jonathan.slapin,GB,0,1
proksch,GB,0,1
luigi.curini,GB,0,1
sudulicm,GB,0,0
costellr,GB,0,1
olgagyarfasova,GB,10,1
baccinil,GB,0,1
ligita_sarkute,GB,10,0
s.hix,GB,35,1
francois.petry,GB,100,1
listonv,GB,0,1
benoit.collette,GB,35,1
doherta,GB,0,0
careydp,GB,0,0
njokur,GB,0,0
headonc,GB,0,0
rutherfc,GB,0,0
saula,GB,0,0
lukaszek,GB,0,0
campbeca,GB,0,0
fedoreae,GB,0,0
daublert2,GB,2,1
j.garry,GB,30,1
goreckim2,GB,1,1
mikhailv,NZ,1,0
martinh,NZ,0,0
agwiazda,NZ,8,1
suiterj,NZ,0,1
Nina.Wiesehomeier,NZ,0,1
ligita_sarkute,NZ,10,0
wallmt,NZ,0,1
Martin.Brunner,NZ,0,1
thomsor,NZ,25,1
marc.debus,NZ,5,1
eoin.omalley,NZ,20,1
kenneth.mcdonagh,NZ,0,0
ezrow,NZ,0,1
sgilliga,NZ,0,0
carroljm,NZ,0,0
macgiols,NZ,0,1
corleymi,NZ,0,0
mcnamaco,NZ,0,0
farrelsk,NZ,0,0
kaczmara,NZ,2,0
mrwillia,NZ,0,0
brettj,NZ,0,1
haupt.19,NZ,0,1
