coder_id,manifesto,unit_id,sequence,code
kbenoit,GB,GB-001,1,000
kbenoit,GB,GB-002,2,000
kbenoit,GB,GB-003,3,305
kbenoit,GB,GB-004,4,305
kbenoit,GB,GB-005,5,305
kbenoit,GB,GB-006,6,305
kbenoit,GB,GB-007,7,410
kbenoit,GB,GB-008,8,410
kbenoit,GB,GB-009,9,410
kbenoit,GB,GB-010,10,403
kbenoit,GB,GB-011,11,401
kbenoit,GB,GB-012,12,305
kbenoit,GB,GB-013,13,410
kbenoit,GB,GB-014,14,606
kbenoit,GB,GB-015,15,605
kbenoit,GB,GB-016,16,411
kbenoit,GB,GB-017,17,606
kbenoit,GB,GB-018,18,606
kbenoit,GB,GB-019,19,606
kbenoit,GB,GB-020,20,606
kbenoit,GB,GB-021,21,607
kbenoit,GB,GB-022,22,503
kbenoit,GB,GB-023,23,410
kbenoit,GB,GB-024,24,305
kbenoit,GB,GB-025,25,409
kbenoit,GB,GB-026,26,410
kbenoit,GB,GB-027,27,410
kbenoit,GB,GB-028,28,410
kbenoit,GB,GB-029,29,410
kbenoit,GB,GB-030,30,410
kbenoit,GB,GB-031,31,606
kbenoit,GB,GB-032,32,605
kbenoit,GB,GB-033,33,403
kbenoit,GB,GB-034,34,305
kbenoit,GB,GB-035,35,305
kbenoit,GB,GB-036,36,000
kbenoit,GB,GB-037,37,409
kbenoit,GB,GB-038,38,409
kbenoit,GB,GB-039,39,504
kbenoit,GB,GB-040,40,305
kbenoit,GB,GB-041,41,404
kbenoit,GB,GB-042,42,410
kbenoit,GB,GB-043,43,409
kbenoit,GB,GB-044,44,409
kbenoit,GB,GB-045,45,407
kbenoit,GB,GB-046,46,305
kbenoit,GB,GB-047,47,606
kbenoit,GB,GB-048,48,305
kbenoit,GB,GB-049,49,405
kbenoit,GB,GB-050,50,405
kbenoit,GB,GB-051,51,405
kbenoit,GB,GB-052,52,405
kbenoit,GB,GB-053,53,405
kbenoit,GB,GB-054,54,405
kbenoit,GB,GB-055,55,405
kbenoit,GB,GB-056,56,411
kbenoit,GB,GB-057,57,411
kbenoit,GB,GB-058,58,403
kbenoit,GB,GB-059,59,405
kbenoit,GB,GB-060,60,405
kbenoit,GB,GB-061,61,405
kbenoit,GB,GB-062,62,405
kbenoit,GB,GB-063,63,405
kbenoit,GB,GB-064,64,403
kbenoit,GB,GB-065,65,405
kbenoit,GB,GB-066,66,405
kbenoit,GB,GB-067,67,405
kbenoit,GB,GB-068,68,403
kbenoit,GB,GB-069,69,403
kbenoit,GB,GB-070,70,403
kbenoit,GB,GB-071,71,411
kbenoit,GB,GB-072,72,411
