unit_id,manifesto,sequence,master_code,master_rile,full_class_n,full_class_cat_distinct,full_class_cat_modal_share,full_class_cat_1mmodal,full_class_cat_Hnorm,full_class_dom_1mmodal,full_class_rile_1mmodal,full_class_rile_distinct,full_class_rile_modal,full_exclude_n,full_exclude_cat_distinct,full_exclude_cat_modal_share,full_exclude_cat_1mmodal,full_exclude_cat_Hnorm,full_exclude_dom_1mmodal,full_exclude_rile_1mmodal,full_exclude_rile_distinct,full_exclude_rile_modal,retained_class_n,retained_class_cat_distinct,retained_class_cat_modal_share,retained_class_cat_1mmodal,retained_class_cat_Hnorm,retained_class_dom_1mmodal,retained_class_rile_1mmodal,retained_class_rile_distinct,retained_class_rile_modal,retained_exclude_n,retained_exclude_cat_distinct,retained_exclude_cat_modal_share,retained_exclude_cat_1mmodal,retained_exclude_cat_Hnorm,retained_exclude_dom_1mmodal,retained_exclude_rile_1mmodal,retained_exclude_rile_distinct,retained_exclude_rile_modal
GB-001,GB,1,000,none,32,5,0.5625,0.4375,0.3661051374839881,0.4375,0.4375,3,none,14,4,0.35714285714285715,0.6428571428571428,0.5053834989622039,0.6428571428571428,0.2857142857142857,2,right,17,4,0.47058823529411764,0.5294117647058824,0.4299694108718239,0.5294117647058824,0.5294117647058824,3,none,9,3,0.5555555555555556,0.4444444444444444,0.4528562990069186,0.4444444444444444,0.2222222222222222,2,right
GB-002,GB,2,000,none,32,8,0.46875,0.53125,0.46179291288465807,0.53125,0.375,3,none,17,7,0.35294117647058826,0.6470588235294117,0.604101095978882,0.47058823529411764,0.3529411764705882,3,right,17,5,0.47058823529411764,0.5294117647058824,0.47105275571184096,0.5294117647058824,0.47058823529411764,3,none,9,4,0.4444444444444444,0.5555555555555556,0.5529201095237967,0.5555555555555556,0.2222222222222222,3,right
GB-003,GB,3,000,none,32,10,0.28125,0.71875,0.5771953719265965,0.625,0.4375,3,right,27,9,0.3333333333333333,0.6666666666666667,0.5634970917989355,0.5555555555555556,0.33333333333333337,3,right,17,7,0.23529411764705882,0.7647058823529411,0.6328835126986732,0.7647058823529411,0.47058823529411764,3,right,14,6,0.2857142857142857,0.7142857142857143,0.6106241748433933,0.7142857142857143,0.3571428571428571,3,right
GB-004,GB,4,305,right,32,5,0.4375,0.5625,0.412038319737666,0.5625,0.3125,3,right,25,4,0.56,0.43999999999999995,0.35896047296692485,0.43999999999999995,0.12,2,right,17,5,0.5882352941176471,0.4117647058823529,0.4247234128075581,0.4117647058823529,0.23529411764705888,3,right,14,4,0.7142857142857143,0.2857142857142857,0.3392623024595752,0.2857142857142857,0.0714285714285714,2,right
GB-005,GB,5,305,right,32,6,0.3125,0.6875,0.43963848220861956,0.65625,0.5,3,right,27,5,0.37037037037037035,0.6296296296296297,0.3920625544521318,0.5925925925925926,0.40740740740740744,3,right,17,5,0.47058823529411764,0.5294117647058824,0.4819164990437567,0.47058823529411764,0.4117647058823529,3,right,15,4,0.5333333333333333,0.4666666666666667,0.4198284770977516,0.4,0.33333333333333337,3,right
GB-006,GB,6,606,right,32,5,0.40625,0.59375,0.36796708534694955,0.5625,0.21875,3,right,31,4,0.41935483870967744,0.5806451612903225,0.34154701154817807,0.5483870967741935,0.19354838709677424,3,right,17,5,0.4117647058823529,0.5882352941176471,0.43438278527086577,0.5294117647058824,0.17647058823529416,3,right,16,4,0.4375,0.5625,0.3858911107998991,0.5,0.125,3,right
GB-007,GB,7,305,right,32,11,0.28125,0.71875,0.5872556248918266,0.5,0.46875,3,none,29,10,0.3103448275862069,0.6896551724137931,0.5649944473767392,0.4482758620689655,0.5172413793103448,3,none,17,5,0.4117647058823529,0.5882352941176471,0.4925498041447524,0.5882352941176471,0.47058823529411764,2,none,15,4,0.4666666666666667,0.5333333333333333,0.43243654401743914,0.5333333333333333,0.4666666666666667,2,right
GB-008,GB,8,410,none,32,8,0.59375,0.40625,0.4033405608900525,0.25,0.125,2,none,30,7,0.6333333333333333,0.3666666666666667,0.36507306452386445,0.19999999999999996,0.1333333333333333,2,none,17,4,0.7058823529411765,0.2941176470588235,0.3124681155050132,0.11764705882352944,0.11764705882352944,2,none,17,4,0.7058823529411765,0.2941176470588235,0.3124681155050132,0.11764705882352944,0.11764705882352944,2,none
GB-009,GB,9,408,none,32,12,0.25,0.75,0.6302421283829365,0.625,0.375,3,none,30,11,0.26666666666666666,0.7333333333333334,0.6116939478951815,0.6,0.4,3,none,17,7,0.35294117647058826,0.6470588235294117,0.6041010959788818,0.5294117647058824,0.3529411764705882,3,none,17,7,0.35294117647058826,0.6470588235294117,0.6041010959788818,0.5294117647058824,0.3529411764705882,3,none
GB-010,GB,10,305,right,32,13,0.21875,0.78125,0.6630240814944148,0.40625,0.46875,3,left,31,12,0.22580645161290322,0.7741935483870968,0.6489379027070116,0.3870967741935484,0.4516129032258065,3,left,17,9,0.17647058823529413,0.8235294117647058,0.7262856929140071,0.3529411764705882,0.4117647058823529,3,left,17,9,0.17647058823529413,0.8235294117647058,0.7262856929140071,0.3529411764705882,0.4117647058823529,3,left
