config_id,n_sentences,r_1mmodal_vs_retained,r_1mmodal_vs_full,r_Hnorm_vs_retained,mean_model_1mmodal,mean_human_ret_1mmodal
anthropic__claude-3.5-haiku__off,34,0.44050314662309104,0.5411267339150327,0.5769957013646584,0.17058823529411765,0.41753171856978083
anthropic__claude-haiku-4.5__off,34,0.25215709858826335,0.3257624600829969,0.2977622888912342,0.12352941176470589,0.41753171856978083
anthropic__claude-haiku-4.5__on,34,0.46816914831965806,0.5252556056738414,0.5482403647970141,0.19705882352941176,0.41753171856978083
deepseek__deepseek-v4-flash__off,34,0.3750866031181209,0.36788955607711404,0.4466197845300797,0.25882352941176473,0.41753171856978083
deepseek__deepseek-v4-flash__on,34,0.4138979725082186,0.45833206485933625,0.5116059447239277,0.14705882352941177,0.41753171856978083
deepseek__deepseek-v4-pro__on,34,0.5616120326349493,0.5943791771699845,0.6085337613885362,0.22058823529411764,0.41753171856978083
google__gemma-4-26b-a4b-it__off,34,0.29961553323777596,0.32332591302161656,0.3366254310038538,0.03823529411764706,0.41753171856978083
google__gemma-4-26b-a4b-it__on,34,0.5843689672901924,0.5998724650986668,0.6137529856081957,0.18529411764705883,0.41753171856978083
google__gemma-4-31b-it__off,34,0.4612540382762482,0.44414268235561943,0.5118532394311119,0.06176470588235293,0.41753171856978083
google__gemma-4-31b-it__on,34,0.45114233146879174,0.3958198740209736,0.463596973538637,0.14705882352941177,0.41753171856978083
qwen__qwen3.6-35b-a3b__off,34,0.5484314291743468,0.5767734184051082,0.59191130400785,0.22352941176470587,0.41753171856978083
qwen__qwen3.6-35b-a3b__on,34,0.6109110798892704,0.5953005135984003,0.6583938300803763,0.2323529411764706,0.41753171856978083
qwen__qwen3.6-plus__off,34,0.5942863986190293,0.632644486937971,0.6394592451647988,0.21470588235294116,0.41753171856978083
qwen__qwen3.6-plus__on,34,0.636443748320983,0.6204328372845754,0.6561922868433145,0.17647058823529413,0.41753171856978083
