config_id,model,reasoning_mode,unit_id,bucket,n_runs,model_1mmodal,model_Hnorm,model_modal,model_distinct,human_ret_1mmodal,human_ret_Hnorm,human_full_1mmodal,human_full_Hnorm,master_code
anthropic__claude-3.5-haiku__off,anthropic/claude-3.5-haiku,off,GB-009,high-split,10,0.4,0.3899728733539151,701,3,0.6470588235294117,0.6041010959788818,0.75,0.6302421283829365,408
anthropic__claude-3.5-haiku__off,anthropic/claude-3.5-haiku,off,GB-010,high-split,10,0.19999999999999996,0.2173220112736489,401,2,0.8235294117647058,0.7262856929140071,0.78125,0.6630240814944148,305
anthropic__claude-3.5-haiku__off,anthropic/claude-3.5-haiku,off,GB-016,high-split,10,0.6,0.6160396270529164,301,5,0.5882352941176471,0.5444968923166851,0.75,0.6255240814944147,606
anthropic__claude-3.5-haiku__off,anthropic/claude-3.5-haiku,off,GB-033,high-split,10,0.6,0.7591760034688151,701,7,0.7647058823529411,0.7588769229097542,0.84375,0.7382856063692049,408
anthropic__claude-3.5-haiku__off,anthropic/claude-3.5-haiku,off,GB-034,high-split,10,0.09999999999999998,0.14118174150460763,109,2,0.7058823529411764,0.637064073178013,0.78125,0.6871383974314379,408
anthropic__claude-3.5-haiku__off,anthropic/claude-3.5-haiku,off,GB-037,high-split,10,0.5,0.5073786214160919,606,4,0.7647058823529411,0.6258285826427132,0.78125,0.5670178915009778,414
anthropic__claude-3.5-haiku__off,anthropic/claude-3.5-haiku,off,GB-038,high-split,10,0.19999999999999996,0.2173220112736489,410,2,0.7058823529411764,0.6205825845784474,0.75,0.5686278124459132,504
anthropic__claude-3.5-haiku__off,anthropic/claude-3.5-haiku,off,GB-039,high-split,10,0.0,-0.0,504,1,0.7058823529411764,0.67814741801803,0.75,0.5532253534039748,503
anthropic__claude-3.5-haiku__off,anthropic/claude-3.5-haiku,off,GB-050,high-split,10,0.6,0.47290325063701755,403,3,0.7058823529411764,0.6493650012982387,0.78125,0.6451818754177064,606
anthropic__claude-3.5-haiku__off,anthropic/claude-3.5-haiku,off,GB-053,high-agreement,10,0.0,-0.0,606,1,0.17647058823529416,0.23290586823232665,0.1875,0.22367854580207253,606
anthropic__claude-3.5-haiku__off,anthropic/claude-3.5-haiku,off,GB-056,high-agreement,10,0.0,-0.0,411,1,0.05882352941176472,0.07896266496667848,0.125,0.14621288863991927,411
anthropic__claude-3.5-haiku__off,anthropic/claude-3.5-haiku,off,GB-061,mid-split,10,0.5,0.3010299956639812,405,2,0.4117647058823529,0.3780223226998912,0.53125,0.4445748659961364,202
anthropic__claude-3.5-haiku__off,anthropic/claude-3.5-haiku,off,GB-066,mid-split,10,0.0,-0.0,402,1,0.5882352941176471,0.5213322208645437,0.53125,0.45173265991942796,701
anthropic__claude-3.5-haiku__off,anthropic/claude-3.5-haiku,off,GB-071,mid-split,10,0.5,0.3010299956639812,404,2,0.3529411764705882,0.4235781697433843,0.53125,0.49151095977317977,402
anthropic__claude-3.5-haiku__off,anthropic/claude-3.5-haiku,off,GB-074,high-agreement,10,0.0,-0.0,411,1,0.05882352941176472,0.07896266496667848,0.03125,0.04012446486254293,411
anthropic__claude-3.5-haiku__off,anthropic/claude-3.5-haiku,off,GB-077,high-agreement,10,0.0,-0.0,411,1,0.11764705882352944,0.15662685098921497,0.0625,0.07995801332340277,411
anthropic__claude-3.5-haiku__off,anthropic/claude-3.5-haiku,off,GB-090,mid-split,10,0.09999999999999998,0.14118174150460763,403,2,0.5294117647058824,0.429969410871824,0.53125,0.45147113504463776,402
anthropic__claude-3.5-haiku__off,anthropic/claude-3.5-haiku,off,GB-104,mid-split,10,0.5,0.3010299956639812,000,2,0.23529411764705888,0.19257094602980906,0.53125,0.43372900666170133,506
anthropic__claude-3.5-haiku__off,anthropic/claude-3.5-haiku,off,GB-105,mid-split,10,0.09999999999999998,0.14118174150460763,411,2,0.4117647058823529,0.23912579893428051,0.53125,0.3833930828803872,411
anthropic__claude-3.5-haiku__off,anthropic/claude-3.5-haiku,off,GB-107,high-agreement,10,0.0,-0.0,506,1,0.17647058823529416,0.16447729146082843,0.21875,0.15157569250767908,411
anthropic__claude-3.5-haiku__off,anthropic/claude-3.5-haiku,off,NZ-001,mid-split,10,0.6,0.45814600780483383,414,3,0.41666666666666663,0.49670592904742644,0.5217391304347826,0.5043966860990454,414
anthropic__claude-3.5-haiku__off,anthropic/claude-3.5-haiku,off,NZ-006,mid-split,10,0.0,-0.0,408,1,0.5,0.48245245470927484,0.5217391304347826,0.44576776827830605,408
anthropic__claude-3.5-haiku__off,anthropic/claude-3.5-haiku,off,NZ-007,high-split,10,0.0,-0.0,404,1,0.5,0.546490490941855,0.5652173913043479,0.48593854390084895,408
anthropic__claude-3.5-haiku__off,anthropic/claude-3.5-haiku,off,NZ-008,high-agreement,10,0.0,-0.0,402,1,0.08333333333333337,0.11543129118376824,0.08695652173913049,0.11344714269915647,402
anthropic__claude-3.5-haiku__off,anthropic/claude-3.5-haiku,off,NZ-009,mid-split,10,0.0,-0.0,402,1,0.25,0.22630030977895446,0.5217391304347826,0.3600361313496317,414
