unit_id,bucket,within_model_1mmodal,between_model_1mmodal
GB-009,high-split,0.2785714285714286,0.5
GB-010,high-split,0.2571428571428571,0.5
GB-016,high-split,0.4214285714285714,0.7142857142857143
GB-033,high-split,0.35000000000000003,0.6428571428571428
GB-034,high-split,0.2357142857142857,0.5
GB-037,high-split,0.31428571428571433,0.2142857142857143
GB-038,high-split,0.2642857142857143,0.5714285714285714
GB-039,high-split,0.2785714285714286,0.3571428571428571
GB-050,high-split,0.2928571428571428,0.4285714285714286
GB-053,high-agreement,0.0,0.0
GB-056,high-agreement,0.028571428571428574,0.0
GB-061,mid-split,0.32142857142857145,0.5
GB-066,mid-split,0.1357142857142857,0.1428571428571429
GB-071,mid-split,0.37142857142857144,0.5
GB-074,high-agreement,0.007142857142857141,0.0
GB-077,high-agreement,0.021428571428571432,0.0
GB-090,mid-split,0.2571428571428572,0.2857142857142857
GB-104,mid-split,0.09999999999999999,0.0714285714285714
GB-105,mid-split,0.2785714285714286,0.4285714285714286
GB-107,high-agreement,0.0642857142857143,0.0
NZ-001,mid-split,0.2857142857142857,0.4285714285714286
NZ-006,mid-split,0.007142857142857141,0.0
NZ-007,high-split,0.21428571428571427,0.4285714285714286
NZ-008,high-agreement,0.0,0.0
NZ-009,mid-split,0.07857142857142858,0.4285714285714286
NZ-014,mid-split,0.2571428571428571,0.3571428571428571
NZ-022,high-split,0.021428571428571425,0.1428571428571429
NZ-023,high-split,0.0,0.0
NZ-034,high-agreement,0.007142857142857141,0.0
NZ-044,high-split,0.2857142857142857,0.4285714285714286
NZ-059,high-split,0.2571428571428572,0.4285714285714286
NZ-063,high-agreement,0.07857142857142858,0.0
NZ-064,high-agreement,0.0,0.0
NZ-070,high-agreement,0.05,0.0
