master_code,pred_or_coder_code,human_count,human_retained_count,model_count_pooled,in_human,in_model
411,506,40,24,201,True,True
414,408,10,5,173,True,True
503,504,11,8,156,True,True
701,402,5,1,108,True,True
402,403,11,6,107,True,True
606,503,8,4,80,True,True
202,405,15,10,59,True,True
305,412,2,1,59,True,True
408,701,11,5,55,True,True
504,408,10,5,52,True,True
408,404,14,4,49,True,True
504,409,6,5,48,True,True
414,402,9,3,47,True,True
503,305,9,7,44,True,True
408,305,19,12,43,True,True
408,702,2,1,43,True,True
706,411,3,1,34,True,True
305,401,1,0,33,True,True
606,405,8,6,30,True,True
606,303,0,0,27,False,True
504,410,2,1,23,True,True
410,701,1,0,23,True,True
408,410,8,6,20,True,True
706,506,5,3,20,True,True
606,305,7,4,17,True,True
414,409,2,1,15,True,True
606,504,3,2,13,True,True
402,408,5,1,12,True,True
410,408,5,4,12,True,True
606,301,1,0,12,True,True
414,000,9,3,11,True,True
414,305,7,6,11,True,True
504,000,7,3,11,True,True
305,403,6,3,10,True,True
606,408,5,5,10,True,True
402,404,3,2,10,True,True
402,412,2,2,10,True,True
408,303,2,0,10,True,True
411,410,1,1,10,True,True
503,201,0,0,10,False,True
606,403,0,0,10,False,True
503,706,13,5,9,True,True
402,401,7,4,9,True,True
414,410,2,2,9,True,True
408,503,1,0,9,True,True
408,109,0,0,9,False,True
414,106,0,0,9,False,True
503,000,6,2,8,True,True
202,403,2,2,8,True,True
701,202,2,2,8,True,True
408,606,1,1,8,True,True
503,705,6,2,7,True,True
706,503,4,3,7,True,True
202,408,3,0,7,True,True
408,105,0,0,7,False,True
408,403,5,2,6,True,True
506,000,4,0,6,True,True
202,305,0,0,6,False,True
606,505,0,0,6,False,True
506,411,8,4,5,True,True
402,411,2,1,5,True,True
305,408,1,1,5,True,True
408,504,0,0,5,False,True
408,703,0,0,5,False,True
414,606,0,0,5,False,True
503,505,0,0,5,False,True
506,408,0,0,5,False,True
408,409,3,2,4,True,True
411,408,1,0,4,True,True
402,303,0,0,4,False,True
701,401,0,0,4,False,True
408,405,6,5,3,True,True
408,401,5,1,3,True,True
202,000,4,1,3,True,True
606,411,3,2,3,True,True
606,202,1,0,3,True,True
606,701,1,0,3,True,True
402,703,0,0,3,False,True
408,104,0,0,3,False,True
606,401,0,0,3,False,True
606,000,8,1,2,True,True
408,000,5,0,2,True,True
504,701,4,1,2,True,True
408,414,3,2,2,True,True
402,305,1,0,2,True,True
410,409,1,0,2,True,True
606,402,1,0,2,True,True
202,301,0,0,2,False,True
202,701,0,0,2,False,True
411,503,0,0,2,False,True
411,601,0,0,2,False,True
503,506,0,0,2,False,True
606,201,0,0,2,False,True
504,305,8,5,1,True,True
504,503,7,3,1,True,True
414,404,6,1,1,True,True
701,405,6,5,1,True,True
408,402,3,2,1,True,True
606,602,3,0,1,True,True
408,706,2,2,1,True,True
706,701,2,1,1,True,True
305,409,1,1,1,True,True
408,705,1,0,1,True,True
411,704,1,0,1,True,True
506,507,1,0,1,True,True
506,706,1,0,1,True,True
606,601,1,0,1,True,True
701,403,1,1,1,True,True
202,302,0,0,1,False,True
202,401,0,0,1,False,True
202,402,0,0,1,False,True
202,406,0,0,1,False,True
202,412,0,0,1,False,True
202,502,0,0,1,False,True
202,606,0,0,1,False,True
305,105,0,0,1,False,True
305,605,0,0,1,False,True
402,410,0,0,1,False,True
402,502,0,0,1,False,True
408,502,0,0,1,False,True
408,506,0,0,1,False,True
408,607,0,0,1,False,True
410,503,0,0,1,False,True
410,506,0,0,1,False,True
410,606,0,0,1,False,True
410,703,0,0,1,False,True
411,413,0,0,1,False,True
414,105,0,0,1,False,True
414,504,0,0,1,False,True
414,602,0,0,1,False,True
504,506,0,0,1,False,True
504,704,0,0,1,False,True
606,416,0,0,1,False,True
606,506,0,0,1,False,True
701,506,0,0,1,False,True
706,201,0,0,1,False,True
706,705,0,0,1,False,True
504,404,6,3,0,True,False
504,706,6,0,0,True,False
305,404,4,3,0,True,False
408,407,4,3,0,True,False
305,701,3,3,0,True,False
503,701,3,1,0,True,False
305,406,2,0,0,True,False
305,602,2,0,0,True,False
408,412,2,1,0,True,False
408,602,2,0,0,True,False
411,000,2,0,0,True,False
411,402,2,2,0,True,False
411,404,2,0,0,True,False
503,303,2,0,0,True,False
503,402,2,1,0,True,False
503,408,2,2,0,True,False
504,402,2,2,0,True,False
504,403,2,0,0,True,False
606,304,2,0,0,True,False
706,410,2,0,0,True,False
706,504,2,1,0,True,False
202,410,1,0,0,True,False
202,503,1,0,0,True,False
305,000,1,0,0,True,False
305,410,1,1,0,True,False
305,415,1,1,0,True,False
402,000,1,0,0,True,False
402,301,1,0,0,True,False
402,405,1,0,0,True,False
402,406,1,0,0,True,False
402,504,1,0,0,True,False
408,304,1,0,0,True,False
408,411,1,0,0,True,False
408,413,1,0,0,True,False
410,000,1,0,0,True,False
410,401,1,1,0,True,False
410,403,1,1,0,True,False
410,505,1,0,0,True,False
410,702,1,0,0,True,False
411,102,1,0,0,True,False
411,305,1,0,0,True,False
411,409,1,1,0,True,False
411,701,1,0,0,True,False
414,401,1,0,0,True,False
414,406,1,0,0,True,False
414,412,1,0,0,True,False
414,701,1,0,0,True,False
503,409,1,1,0,True,False
503,410,1,0,0,True,False
503,413,1,0,0,True,False
503,606,1,0,0,True,False
504,202,1,0,0,True,False
504,601,1,0,0,True,False
504,606,1,0,0,True,False
506,414,1,0,0,True,False
506,504,1,0,0,True,False
506,602,1,0,0,True,False
506,705,1,0,0,True,False
606,407,1,1,0,True,False
606,412,1,1,0,True,False
606,415,1,0,0,True,False
606,605,1,1,0,True,False
606,607,1,0,0,True,False
606,702,1,1,0,True,False
606,703,1,0,0,True,False
606,706,1,1,0,True,False
701,414,1,1,0,True,False
701,415,1,0,0,True,False
701,503,1,0,0,True,False
