model,unit_id,on_1mmodal,off_1mmodal,delta_1mmodal,on_Hnorm,off_Hnorm
anthropic/claude-haiku-4.5,GB-009,0.4,0.0,0.4,0.3899728733539151,-0.0
anthropic/claude-haiku-4.5,GB-010,0.5,0.09999999999999998,0.4,0.5301029995663982,0.14118174150460763
anthropic/claude-haiku-4.5,GB-016,0.7,0.30000000000000004,0.3999999999999999,0.7364516253185088,0.2652949955741215
anthropic/claude-haiku-4.5,GB-033,0.6,0.0,0.6,0.5183520069376301,-0.0
anthropic/claude-haiku-4.5,GB-034,0.4,0.30000000000000004,0.09999999999999998,0.3899728733539151,0.2652949955741215
anthropic/claude-haiku-4.5,GB-037,0.30000000000000004,0.19999999999999996,0.10000000000000009,0.2652949955741215,0.2173220112736489
anthropic/claude-haiku-4.5,GB-038,0.0,0.09999999999999998,-0.09999999999999998,-0.0,0.14118174150460763
anthropic/claude-haiku-4.5,GB-039,0.4,0.0,0.4,0.3899728733539151,-0.0
anthropic/claude-haiku-4.5,GB-050,0.30000000000000004,0.0,0.30000000000000004,0.348225372857224,-0.0
anthropic/claude-haiku-4.5,GB-053,0.0,0.0,0.0,-0.0,-0.0
anthropic/claude-haiku-4.5,GB-056,0.0,0.0,0.0,-0.0,-0.0
anthropic/claude-haiku-4.5,GB-061,0.09999999999999998,0.4,-0.30000000000000004,0.14118174150460763,0.4729032506370176
anthropic/claude-haiku-4.5,GB-066,0.0,0.0,0.0,-0.0,-0.0
anthropic/claude-haiku-4.5,GB-071,0.19999999999999996,0.7,-0.5,0.27752801040644515,0.5933152489026101
anthropic/claude-haiku-4.5,GB-074,0.0,0.0,0.0,-0.0,-0.0
anthropic/claude-haiku-4.5,GB-077,0.0,0.0,0.0,-0.0,-0.0
anthropic/claude-haiku-4.5,GB-090,0.4,0.09999999999999998,0.30000000000000004,0.29228525323862886,0.14118174150460763
anthropic/claude-haiku-4.5,GB-104,0.0,0.0,0.0,-0.0,-0.0
anthropic/claude-haiku-4.5,GB-105,0.09999999999999998,0.5,-0.4,0.14118174150460763,0.4096910013008056
anthropic/claude-haiku-4.5,GB-107,0.0,0.0,0.0,-0.0,-0.0
anthropic/claude-haiku-4.5,NZ-001,0.30000000000000004,0.30000000000000004,0.0,0.348225372857224,0.2652949955741215
anthropic/claude-haiku-4.5,NZ-006,0.0,0.0,0.0,-0.0,-0.0
anthropic/claude-haiku-4.5,NZ-007,0.30000000000000004,0.4,-0.09999999999999998,0.2652949955741215,0.29228525323862886
anthropic/claude-haiku-4.5,NZ-008,0.0,0.0,0.0,-0.0,-0.0
anthropic/claude-haiku-4.5,NZ-009,0.4,0.0,0.4,0.29228525323862886,-0.0
anthropic/claude-haiku-4.5,NZ-014,0.09999999999999998,0.19999999999999996,-0.09999999999999998,0.14118174150460763,0.2173220112736489
anthropic/claude-haiku-4.5,NZ-022,0.0,0.0,0.0,-0.0,-0.0
anthropic/claude-haiku-4.5,NZ-023,0.0,0.0,0.0,-0.0,-0.0
anthropic/claude-haiku-4.5,NZ-034,0.0,0.0,0.0,-0.0,-0.0
anthropic/claude-haiku-4.5,NZ-044,0.5,0.30000000000000004,0.19999999999999996,0.3010299956639812,0.2652949955741215
anthropic/claude-haiku-4.5,NZ-059,0.0,0.30000000000000004,-0.30000000000000004,-0.0,0.2652949955741215
anthropic/claude-haiku-4.5,NZ-063,0.4,0.0,0.4,0.3899728733539151,-0.0
anthropic/claude-haiku-4.5,NZ-064,0.0,0.0,0.0,-0.0,-0.0
anthropic/claude-haiku-4.5,NZ-070,0.30000000000000004,0.0,0.30000000000000004,0.2652949955741215,-0.0
deepseek/deepseek-v4-flash,GB-009,0.19999999999999996,0.6,-0.4,0.2173220112736489,0.5183520069376301
deepseek/deepseek-v4-flash,GB-010,0.19999999999999996,0.30000000000000004,-0.10000000000000009,0.2173220112736489,0.348225372857224
deepseek/deepseek-v4-flash,GB-016,0.4,0.09999999999999998,0.30000000000000004,0.4729032506370176,0.14118174150460763
deepseek/deepseek-v4-flash,GB-033,0.0,0.6,-0.6,-0.0,0.7591760034688151
deepseek/deepseek-v4-flash,GB-034,0.0,0.30000000000000004,-0.30000000000000004,-0.0,0.348225372857224
deepseek/deepseek-v4-flash,GB-037,0.30000000000000004,0.30000000000000004,0.0,0.348225372857224,0.4084313719900203
deepseek/deepseek-v4-flash,GB-038,0.5,0.30000000000000004,0.19999999999999996,0.4471726222832957,0.348225372857224
deepseek/deepseek-v4-flash,GB-039,0.30000000000000004,0.5,-0.19999999999999996,0.4084313719900203,0.4096910013008056
deepseek/deepseek-v4-flash,GB-050,0.30000000000000004,0.4,-0.09999999999999998,0.348225372857224,0.29228525323862886
deepseek/deepseek-v4-flash,GB-053,0.0,0.0,0.0,-0.0,-0.0
deepseek/deepseek-v4-flash,GB-056,0.0,0.4,-0.4,-0.0,0.29228525323862886
deepseek/deepseek-v4-flash,GB-061,0.09999999999999998,0.4,-0.30000000000000004,0.14118174150460763,0.3899728733539151
deepseek/deepseek-v4-flash,GB-066,0.0,0.09999999999999998,-0.09999999999999998,-0.0,0.14118174150460763
deepseek/deepseek-v4-flash,GB-071,0.5,0.30000000000000004,0.19999999999999996,0.5301029995663982,0.348225372857224
deepseek/deepseek-v4-flash,GB-074,0.09999999999999998,0.0,0.09999999999999998,0.14118174150460763,-0.0
deepseek/deepseek-v4-flash,GB-077,0.0,0.30000000000000004,-0.30000000000000004,-0.0,0.348225372857224
deepseek/deepseek-v4-flash,GB-090,0.0,0.30000000000000004,-0.30000000000000004,-0.0,0.348225372857224
deepseek/deepseek-v4-flash,GB-104,0.0,0.09999999999999998,-0.09999999999999998,-0.0,0.14118174150460763
deepseek/deepseek-v4-flash,GB-105,0.0,0.7,-0.7,-0.0,0.6762456261857126
deepseek/deepseek-v4-flash,GB-107,0.0,0.0,0.0,-0.0,-0.0
deepseek/deepseek-v4-flash,NZ-001,0.4,0.6,-0.19999999999999996,0.4729032506370176,0.5183520069376301
deepseek/deepseek-v4-flash,NZ-006,0.0,0.09999999999999998,-0.09999999999999998,-0.0,0.14118174150460763
deepseek/deepseek-v4-flash,NZ-007,0.30000000000000004,0.0,0.30000000000000004,0.2652949955741215,-0.0
deepseek/deepseek-v4-flash,NZ-008,0.0,0.0,0.0,-0.0,-0.0
deepseek/deepseek-v4-flash,NZ-009,0.09999999999999998,0.30000000000000004,-0.20000000000000007,0.14118174150460763,0.348225372857224
deepseek/deepseek-v4-flash,NZ-014,0.5,0.6,-0.09999999999999998,0.3010299956639812,0.55583362792012
deepseek/deepseek-v4-flash,NZ-022,0.0,0.09999999999999998,-0.09999999999999998,-0.0,0.14118174150460763
deepseek/deepseek-v4-flash,NZ-023,0.0,0.0,0.0,-0.0,-0.0
deepseek/deepseek-v4-flash,NZ-034,0.0,0.0,0.0,-0.0,-0.0
deepseek/deepseek-v4-flash,NZ-044,0.6,0.0,0.6,0.55583362792012,-0.0
deepseek/deepseek-v4-flash,NZ-059,0.19999999999999996,0.30000000000000004,-0.10000000000000009,0.27752801040644515,0.4084313719900203
deepseek/deepseek-v4-flash,NZ-063,0.0,0.4,-0.4,-0.0,0.3899728733539151
deepseek/deepseek-v4-flash,NZ-064,0.0,0.0,0.0,-0.0,-0.0
deepseek/deepseek-v4-flash,NZ-070,0.0,0.4,-0.4,-0.0,0.3899728733539151
google/gemma-4-26b-a4b-it,GB-009,0.5,0.0,0.5,0.3010299956639812,-0.0
google/gemma-4-26b-a4b-it,GB-010,0.19999999999999996,0.09999999999999998,0.09999999999999998,0.2173220112736489,0.14118174150460763
google/gemma-4-26b-a4b-it,GB-016,0.19999999999999996,0.0,0.19999999999999996,0.2173220112736489,-0.0
google/gemma-4-26b-a4b-it,GB-033,0.30000000000000004,0.0,0.30000000000000004,0.2652949955741215,-0.0
google/gemma-4-26b-a4b-it,GB-034,0.5,0.0,0.5,0.3010299956639812,-0.0
google/gemma-4-26b-a4b-it,GB-037,0.4,0.09999999999999998,0.30000000000000004,0.29228525323862886,0.14118174150460763
google/gemma-4-26b-a4b-it,GB-038,0.4,0.30000000000000004,0.09999999999999998,0.29228525323862886,0.2652949955741215
google/gemma-4-26b-a4b-it,GB-039,0.19999999999999996,0.0,0.19999999999999996,0.2173220112736489,-0.0
google/gemma-4-26b-a4b-it,GB-050,0.09999999999999998,0.30000000000000004,-0.20000000000000007,0.14118174150460763,0.348225372857224
google/gemma-4-26b-a4b-it,GB-053,0.0,0.0,0.0,-0.0,-0.0
google/gemma-4-26b-a4b-it,GB-056,0.0,0.0,0.0,-0.0,-0.0
google/gemma-4-26b-a4b-it,GB-061,0.30000000000000004,0.09999999999999998,0.20000000000000007,0.2652949955741215,0.14118174150460763
google/gemma-4-26b-a4b-it,GB-066,0.09999999999999998,0.0,0.09999999999999998,0.14118174150460763,-0.0
google/gemma-4-26b-a4b-it,GB-071,0.4,0.0,0.4,0.29228525323862886,-0.0
google/gemma-4-26b-a4b-it,GB-074,0.0,0.0,0.0,-0.0,-0.0
google/gemma-4-26b-a4b-it,GB-077,0.0,0.0,0.0,-0.0,-0.0
google/gemma-4-26b-a4b-it,GB-090,0.4,0.0,0.4,0.3899728733539151,-0.0
google/gemma-4-26b-a4b-it,GB-104,0.0,0.0,0.0,-0.0,-0.0
google/gemma-4-26b-a4b-it,GB-105,0.5,0.0,0.5,0.4471726222832957,-0.0
google/gemma-4-26b-a4b-it,GB-107,0.0,0.0,0.0,-0.0,-0.0
google/gemma-4-26b-a4b-it,NZ-001,0.5,0.0,0.5,0.4096910013008056,-0.0
google/gemma-4-26b-a4b-it,NZ-006,0.0,0.0,0.0,-0.0,-0.0
google/gemma-4-26b-a4b-it,NZ-007,0.19999999999999996,0.0,0.19999999999999996,0.2173220112736489,-0.0
google/gemma-4-26b-a4b-it,NZ-008,0.0,0.0,0.0,-0.0,-0.0
google/gemma-4-26b-a4b-it,NZ-009,0.0,0.0,0.0,-0.0,-0.0
google/gemma-4-26b-a4b-it,NZ-014,0.4,0.0,0.4,0.29228525323862886,-0.0
google/gemma-4-26b-a4b-it,NZ-022,0.0,0.0,0.0,-0.0,-0.0
