config_id,n_sentences,mean_abs_d_1mmodal_10v5,mean_abs_d_Hnorm_10v5,mean_abs_d_1mmodal_10v3,mean_abs_d_Hnorm_10v3
anthropic__claude-3.5-haiku__off,34,0.05294117647058823,0.08671391711100505,0.07450980392156863,0.11164838906770523
anthropic__claude-haiku-4.5__off,34,0.047058823529411764,0.055908232298496466,0.05686274509803922,0.10642126281860975
anthropic__claude-haiku-4.5__on,34,0.05588235294117648,0.07876625449435234,0.0696078431372549,0.1660939744913422
deepseek__deepseek-v4-flash__off,34,0.08823529411764708,0.1191969824045663,0.1450980392156863,0.22898411056398985
deepseek__deepseek-v4-flash__on,34,0.07058823529411766,0.08015153378857415,0.07647058823529414,0.14741065940253995
deepseek__deepseek-v4-pro__on,34,0.055882352941176466,0.07103507584156615,0.10294117647058824,0.19478663460943804
google__gemma-4-26b-a4b-it__off,34,0.020588235294117647,0.027377516106473904,0.03431372549019608,0.05660960116336078
google__gemma-4-26b-a4b-it__on,34,0.061764705882352944,0.08978735350802027,0.10686274509803922,0.17171920850279307
google__gemma-4-31b-it__off,34,0.026470588235294117,0.03730523368003872,0.03431372549019608,0.07187773092215033
google__gemma-4-31b-it__on,34,0.0588235294117647,0.08192330297727243,0.09019607843137255,0.13834032524788523
qwen__qwen3.6-35b-a3b__off,34,0.06470588235294118,0.09139462641813606,0.10588235294117646,0.14255216360796516
qwen__qwen3.6-35b-a3b__on,34,0.055882352941176466,0.07790142587164618,0.09705882352941175,0.14982172108121
qwen__qwen3.6-plus__off,34,0.061764705882352944,0.06443896525201309,0.08529411764705881,0.11729338256267034
qwen__qwen3.6-plus__on,34,0.05294117647058823,0.08654281024633767,0.06666666666666667,0.12156678832944644
