unit_id,bucket,manifesto,sequence,section,text,master_code,master_rile,full_class_n,full_class_cat_distinct,full_class_cat_modal_share,full_class_cat_1mmodal,full_class_cat_Hnorm,full_class_rile_distinct,full_class_rile_1mmodal,full_class_rile_modal,retained_class_n,retained_class_cat_distinct,retained_class_cat_modal_share,retained_class_cat_1mmodal,retained_class_cat_Hnorm,retained_class_rile_distinct,retained_class_rile_1mmodal,retained_class_rile_modal
GB-033,high-split,GB,33,THE IMMEDIATE CRISIS: JOBS AND PRICES,"Much of the present unemployment is a direct result of the civil war in British industry, of restrictive practices and low investment.",408,none,32,15,0.15625,0.84375,0.7382856063692049,3,0.46875,none,17,10,0.23529411764705882,0.7647058823529411,0.7588769229097542,3,0.4117647058823529,none
NZ-059,high-split,NZ,59,WOMEN'S RIGHTS,We will give special attention to the problems associated with re-entry to the work force and ensure that greater job retraining opportunities are available.,706,none,23,7,0.21739130434782608,0.782608695652174,0.5965648611812086,2,0.3913043478260869,none,12,6,0.25,0.75,0.6684144184766948,2,0.41666666666666663,none
GB-010,high-split,GB,10,Working together for Britain,"Mrs Thatcher's government stands idly by, hoping that the blind forces of the marketplace will restore the jobs and factories that its indifference has destroyed.",305,right,32,13,0.21875,0.78125,0.6630240814944148,3,0.46875,left,17,9,0.17647058823529413,0.8235294117647058,0.7262856929140071,3,0.4117647058823529,left
GB-034,high-split,GB,34,THE IMMEDIATE CRISIS: JOBS AND PRICES,"But in addition, conservative Government policies have caused unemployment to rise.",408,none,32,15,0.21875,0.78125,0.6871383974314379,3,0.53125,none,17,8,0.29411764705882354,0.7058823529411764,0.637064073178013,3,0.47058823529411764,none
GB-037,high-split,GB,37,THE IMMEDIATE CRISIS: JOBS AND PRICES,We believe it can.,414,right,32,9,0.21875,0.78125,0.5670178915009778,3,0.53125,none,17,7,0.23529411764705882,0.7647058823529411,0.6258285826427132,3,0.5294117647058824,right
GB-050,high-split,GB,50,STRATEGY FOR INDUSTRIAL SUCCESS,in the way profits and risks are shared.,606,right,32,13,0.21875,0.78125,0.6451818754177064,3,0.1875,none,17,8,0.29411764705882354,0.7058823529411764,0.6493650012982387,3,0.11764705882352944,none
GB-009,high-split,GB,9,Working together for Britain,Unemployment is still rising and there are now generations of school-leavers who no longer even hope for work.,408,none,32,12,0.25,0.75,0.6302421283829365,3,0.375,none,17,7,0.35294117647058826,0.6470588235294117,0.6041010959788818,3,0.3529411764705882,none
GB-016,high-split,GB,16,Working together for Britain,Rundown cities and declining rural services alike tell a story of a warped sense of priorities by successive governments.,606,right,32,12,0.25,0.75,0.6255240814944147,3,0.4375,right,17,6,0.4117647058823529,0.5882352941176471,0.5444968923166851,3,0.23529411764705888,right
GB-038,high-split,GB,38,THE IMMEDIATE CRISIS: JOBS AND PRICES,We propose a carefully devised and costed jobs programme aimed at reducing unemployment by 1 million over two years.,504,left,32,9,0.25,0.75,0.5686278124459132,3,0.46875,none,17,7,0.29411764705882354,0.7058823529411764,0.6205825845784474,3,0.4117647058823529,none
GB-039,high-split,GB,39,THE IMMEDIATE CRISIS: JOBS AND PRICES,"This programme will be supported by immediate measures to help those hardest hit by the slump - the disadvantaged, the pensioners, the poor.",503,none,32,8,0.25,0.75,0.5532253534039748,3,0.40625,none,17,8,0.29411764705882354,0.7058823529411764,0.67814741801803,3,0.4117647058823529,none
